Title,Title_link,Thumbnail,Box-sc-8ox7qa-0,Text__TextBase-sc-1i9uasc-0-div,Text__TextBase-sc-1i9uasc-0-div1,Text__TextBase-sc-1i9uasc-0-div2,Text__TextBase-sc-1i9uasc-0-div3,SSeMC,Padding-sc-1d43y5s-01,cERLyX,Field2,Field3
406 Oxford Ave,https://www.trulia.com/p/ca/clovis/406-oxford-ave-clovis-ca-93612--2082407941,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Mar-20,"$510,000 ",3bd,2ba,"2,848 sqft",$179/sqft,Lot Size: 0.26 acres,Built in 1932,Rooms: Dining Room,
25 Pico Ave,https://www.trulia.com/p/ca/clovis/25-pico-ave-clovis-ca-93612--2082406683,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Mar-20,"$241,000 ",4bd,2ba,"1,764 sqft",$137/sqft,"Lot Size: 6,298 sqft",Built in 1961,Rooms: Family Room,
1151 Holly Ave,https://www.trulia.com/p/ca/clovis/1151-holly-ave-clovis-ca-93611--1054598901,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Mar-20,"$355,000 ",3bd,2ba,"1,676 sqft",$212/sqft,Lot Size: 0.34 acres,Built in 1987,"Rooms: Walk In Closet, Family Room",
760 Bliss Ave,https://www.trulia.com/p/ca/clovis/760-bliss-ave-clovis-ca-93611--2411447771,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$307,000 ",Studio,760 Bliss Ave,"Clovis, CA","Lot Size: 1,960 sqft",,,,
2638 Ashcroft Ave,https://www.trulia.com/p/ca/clovis/2638-ashcroft-ave-clovis-ca-93611--2082399249,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$386,000 ",4bd,2ba,"2,046 sqft",$189/sqft,"Lot Size: 8,001 sqft",Built in 2004,Heating: Forced Air,
766 Bliss Ave,https://www.trulia.com/p/ca/clovis/766-bliss-ave-clovis-ca-93611--2411447774,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$303,500 ",Studio,766 Bliss Ave,"Clovis, CA","Lot Size: 1,960 sqft",,,,
3084 Vermont Ave,https://www.trulia.com/p/ca/clovis/3084-vermont-ave-clovis-ca-93619--2435664180,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$510,000 ",Studio,3084 Vermont Ave,"Clovis, CA","Lot Size: 6,275 sqft",Built in 2019,Heating: Forced Air,Cooling System: Central,
1333 Pierce Dr,https://www.trulia.com/p/ca/clovis/1333-pierce-dr-clovis-ca-93612--2082405051,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$280,000 ",3bd,2ba,"1,629 sqft",$172/sqft,"Lot Size: 7,701 sqft",Built in 1977,Rooms: Dining Room,
550 W Alluvial Ave,https://www.trulia.com/p/ca/clovis/550-w-alluvial-ave-clovis-ca-93611--2116872453,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$310,000 ",3bd,2ba,"1,762 sqft",$176/sqft,"Lot Size: 8,054 sqft",Built in 1990,Rooms: Dining Room,
2924 E El Paso Ave,https://www.trulia.com/p/ca/fresno/2924-e-el-paso-ave-fresno-ca-93720--2117007555,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$320,000 ",3bd,1.75ba,"1,507 sqft",$212/sqft,"Lot Size: 6,481 sqft",Built in 2005,Rooms: Dining Room,
1636 Renn Ave,https://www.trulia.com/p/ca/clovis/1636-renn-ave-clovis-ca-93611--2082393697,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$270,000 ",3bd,2ba,"1,453 sqft",$186/sqft,Lot Size: 15.91 acres,Built in 1973,Heating: Central,
923 Burlingame Ave,https://www.trulia.com/p/ca/clovis/923-burlingame-ave-clovis-ca-93612--2082409216,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Mar-20,"$85,000 ",3bd,2ba,"1,428 sqft",$60/sqft,"Lot Size: 6,899 sqft",Built in 1990,Fireplace,
3739 Highclere Way,https://www.trulia.com/p/ca/clovis/3739-highclere-way-clovis-ca-93619--2411447898,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$291,500 ",Studio,3739 Highclere Way,"Clovis, CA","Lot Size: 2,265 sqft",,,,
541 Dewitt Ave,https://www.trulia.com/homes/CA/Clovis/sold/7175004772-541-Dewitt-Ave-Clovis-CA-93612,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$311,000 ",Studio,541 Dewitt Ave,"Clovis, CA",,,,,
1959 Minarets Ln,https://www.trulia.com/p/ca/clovis/1959-minarets-ln-clovis-ca-93611--2455574669,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$299,000 ",Studio,1959 Minarets Ln,"Clovis, CA","Lot Size: 2,047 sqft",,,,
3745 Highclere Way,https://www.trulia.com/p/ca/clovis/3745-highclere-way-clovis-ca-93619--2411447899,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$277,000 ",Studio,3745 Highclere Way,"Clovis, CA","Lot Size: 2,265 sqft",,,,
364 W Chennault Ave,https://www.trulia.com/p/ca/clovis/364-w-chennault-ave-clovis-ca-93611--2116872082,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$337,000 ",3bd,2ba,"1,740 sqft",$194/sqft,"Lot Size: 5,998 sqft",Built in 1997,Rooms: Dining Room,
3570 Taylor Ln,https://www.trulia.com/p/ca/clovis/3570-taylor-ln-clovis-ca-93619--2185026708,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$339,000 ",4bd,2.5ba,"1,797 sqft",$189/sqft,"Lot Size: 4,996 sqft",$83/monthly HOA,Built in 2016,
1645 Fowler Ave,https://www.trulia.com/p/ca/clovis/1645-fowler-ave-clovis-ca-93611--2082393778,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$270,000 ",5bd,2ba,"1,938 sqft",$139/sqft,"Lot Size: 7,435 sqft",$1/monthly HOA,Built in 1973,
2956 Bliss Ave,https://www.trulia.com/p/ca/clovis/2956-bliss-ave-clovis-ca-93611--2082401120,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$406,000 ",4bd,3ba,"2,705 sqft",$150/sqft,"Lot Size: 8,851 sqft",Built in 2000,"Heating: Forced Air, Gas",
1435 Miami Ave,https://www.trulia.com/p/ca/clovis/1435-miami-ave-clovis-ca-93611--2082392235,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,Contact For Estimate,3bd,2ba,"1,268 sqft","Lot Size: 6,647 sqft",Built in 1975,5 Rooms,"Rooms: Dining Room, Family Room, Recreation Room",
107 W National Ave,https://www.trulia.com/p/ca/clovis/107-w-national-ave-clovis-ca-93612--2116873536,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Mar-20,"$250,000 ",3bd,2ba,"1,268 sqft",$197/sqft,"Lot Size: 6,534 sqft",Built in 1972,Heating: Forced Air,
642 W Stuart Ave,https://www.trulia.com/p/ca/clovis/642-w-stuart-ave-clovis-ca-93612--2116876055,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=642%20W%20Stuart%20Ave%20Clovis%20CA%2093612&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=8dXE2NTbEH9ZhltugPCYkGJie8g%3D,17-Mar-20,"$200,000 ",2bd,2ba,"1,320 sqft",$152/sqft,"Lot Size: 2,238 sqft",$240/monthly HOA,Built in 1982,
1973 Oak Ln,https://www.trulia.com/p/ca/clovis/1973-oak-ln-clovis-ca-93611--2455583375,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=1973%20Oak%20Ln%20Clovis%20CA%2093611&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=2vGxJJYgK8D9iH1JX-AOKeqeimU%3D,16-Mar-20,"$305,000 ",Studio,1973 Oak Ln,"Clovis, CA","Lot Size: 2,134 sqft",,,,
1123 Lester Ave,https://www.trulia.com/p/ca/clovis/1123-lester-ave-clovis-ca-93619--2082417985,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=1123%20Lester%20Ave%20Clovis%20CA%2093619&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=rxhdIysc5d5cLXywFP7J3b4YFZM%3D,16-Mar-20,"$435,500 ",3bd,2ba,"2,251 sqft",$193/sqft,"Lot Size: 8,712 sqft",Built in 2005,Rooms: Dining Room,
351 Lester Ave,https://www.trulia.com/p/ca/clovis/351-lester-ave-clovis-ca-93619--2082422332,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=351%20Lester%20Ave%20Clovis%20CA%2093619&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=YGqRSN_AwWZoHozt8AixlDIXot0%3D,16-Mar-20,"$589,000 ",3bd,3ba,"2,550 sqft",$231/sqft,"Lot Size: 10,402 sqft",Built in 2006,"Rooms: Walk In Closet, Breakfast Nook, Dining Room, Family Room, Laundry Room, Library, Office, Pantry, Recreation Room, Workshop",
1408 Minarets Ave,https://www.trulia.com/p/ca/clovis/1408-minarets-ave-clovis-ca-93611--2082392045,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",16-Mar-20,"$286,000 ",2bd,2ba,"1,150 sqft",$249/sqft,"Lot Size: 8,293 sqft",Built in 1994,"Rooms: Dining Room, Family Room, Laundry Room",
2935 Portland Ave,https://www.trulia.com/p/ca/clovis/2935-portland-ave-clovis-ca-93619--2411486598,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",16-Mar-20,"$508,500 ",Studio,2935 Portland Ave,"Clovis, CA","Lot Size: 6,969 sqft",,,,
13893 E Teague Ave,https://www.trulia.com/p/ca/clovis/13893-e-teague-ave-clovis-ca-93619--2116884596,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",16-Mar-20,"$542,000 ",4bd,3ba,"2,242 sqft",$242/sqft,Lot Size: 19.77 acres,Built in 1975,Heating: Forced Air,
3044 Adler Ave,https://www.trulia.com/p/ca/clovis/3044-adler-ave-clovis-ca-93612--2082407218,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",16-Mar-20,"$204,500 ",4bd,2ba,"1,653 sqft",$124/sqft,"Lot Size: 5,998 sqft",Built in 1977,6 Rooms,
4266 Santa Ana Ave,https://www.trulia.com/p/ca/clovis/4266-santa-ana-ave-clovis-ca-93619--2357192032,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$401,000 ",Studio,4266 Santa Ana Ave,"Clovis, CA","Lot Size: 6,359 sqft",,,,
936 Carmelita Ave,https://www.trulia.com/p/ca/clovis/936-carmelita-ave-clovis-ca-93619--2324510013,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$475,000 ",Studio,936 Carmelita Ave,"Clovis, CA","Lot Size: 5,096 sqft",,,,
1964 N Perry Ave,https://www.trulia.com/p/ca/clovis/1964-n-perry-ave-clovis-ca-93619--2116886224,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$430,000 ",4bd,3ba,"2,945 sqft",$146/sqft,"Lot Size: 6,834 sqft",Built in 2008,4 Rooms,
3555 Integrity Way,https://www.trulia.com/p/ca/clovis/3555-integrity-way-clovis-ca-93619--2082422500,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$259,000 ",3bd,3ba,"1,212 sqft",$214/sqft,"Lot Size: 2,051 sqft",$69/monthly HOA,Built in 2016,
4199 N Quail Xing,https://www.trulia.com/p/ca/clovis/4199-n-quail-xing-clovis-ca-93619--2116886836,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$510,000 ",5bd,4ba,"3,753 sqft",$136/sqft,"Lot Size: 10,201 sqft",$180/monthly HOA,Built in 2014,
3733 Highclere Way,https://www.trulia.com/p/ca/clovis/3733-highclere-way-clovis-ca-93619--2411447897,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$296,000 ",Studio,3733 Highclere Way,"Clovis, CA","Lot Size: 2,265 sqft",,,,
1722 N Ryan Ave,https://www.trulia.com/p/ca/clovis/1722-n-ryan-ave-clovis-ca-93619--2361675629,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$495,500 ",Studio,1722 N Ryan Ave,"Clovis, CA","Lot Size: 7,533 sqft",Built in 2019,"Rooms: Walk In Closet, Dining Room","Heating: Baseboard, Forced Air, Electric, Gas",
1725 Burgan Ave,https://www.trulia.com/p/ca/clovis/1725-burgan-ave-clovis-ca-93611--2082394360,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$290,000 ",3bd,2ba,"1,453 sqft",$200/sqft,"Lot Size: 8,799 sqft",Built in 1974,6 Rooms,
861 Minarets Ave,https://www.trulia.com/p/ca/clovis/861-minarets-ave-clovis-ca-93611--2082403158,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$340,000 ",3bd,2ba,"1,943 sqft",$175/sqft,"Lot Size: 8,276 sqft",Built in 1992,Rooms: Dining Room,
12592 Auberry Rd,https://www.trulia.com/p/ca/clovis/12592-auberry-rd-clovis-ca-93619--2082418152,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$765,000 ",4bd,3ba,"2,444 sqft",$313/sqft,Lot Size: 2.88 acres,Built in 1978,"Rooms: Breakfast Nook, Dining Room",
2223 Sylmar Ave #1,https://www.trulia.com/p/ca/clovis/2223-sylmar-ave-1-clovis-ca-93612--2082406297,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,Contact For Estimate,2bd,1ba,810 sqft,Lot Size: 740 sqft,$245/monthly HOA,Built in 1971,Cooling System: Refrigerator,
2213 Hanson Ave,https://www.trulia.com/p/ca/clovis/2213-hanson-ave-clovis-ca-93611--2082396832,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$295,000 ",3bd,2ba,"1,564 sqft",$189/sqft,"Lot Size: 5,662 sqft",$35/monthly HOA,Built in 2000,
1174 N Orangewood Ave,https://www.trulia.com/p/ca/clovis/1174-n-orangewood-ave-clovis-ca-93611--2116871300,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$695,000 ",5bd,3.5ba,"3,893 sqft",$179/sqft,"Lot Size: 10,149 sqft",Built in 2003,Cooling System: Refrigerator,
963 Rosebrook Dr,https://www.trulia.com/p/ca/clovis/963-rosebrook-dr-clovis-ca-93612--2082409389,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$212,000 ",3bd,1ba,912 sqft,$232/sqft,"Lot Size: 5,898 sqft",Built in 1956,Heating: Forced Air,
77 N Pollasky Ave,https://www.trulia.com/p/ca/clovis/77-n-pollasky-ave-clovis-ca-93612--2116876585,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Mar-20,"$85,000 ",3bd,1ba,990 sqft,$86/sqft,"Lot Size: 5,967 sqft",Built in 1955,Heating: Gas,
3876 Bellaire Ave,https://www.trulia.com/p/ca/clovis/3876-bellaire-ave-clovis-ca-93619--2198003021,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,"$336,000 ",3bd,2ba,"1,702 sqft",$197/sqft,"Lot Size: 3,550 sqft",Built in 2016,Rooms: Dining Room,
2722 Poe Ave,https://www.trulia.com/p/ca/clovis/2722-poe-ave-clovis-ca-93611--1013186452,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,"$545,000 ",5bd,3ba,"3,863 sqft",$141/sqft,Lot Size: 0.31 acres,Built in 2004,17 Rooms,
1005 Aqua Dulce,https://www.trulia.com/p/ca/clovis/1005-aqua-dulce-clovis-ca-93619--2411486085,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,"$447,000 ",Studio,1005 Aqua Dulce,"Clovis, CA","Lot Size: 7,884 sqft",,,,
1077 La Canada Ave,https://www.trulia.com/p/ca/clovis/1077-la-canada-ave-clovis-ca-93619--2411485117,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,"$478,000 ",Studio,1077 La Canada Ave,"Clovis, CA","Lot Size: 9,496 sqft",,,,
1345 Robinson Ave,https://www.trulia.com/p/ca/clovis/1345-robinson-ave-clovis-ca-93612--2082405111,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,Contact For Estimate,3bd,2ba,"1,389 sqft","Lot Size: 6,490 sqft",Built in 1986,Cooling System: Refrigerator,Air Conditioning,
1136 Carmelita Ave,https://www.trulia.com/p/ca/clovis/1136-carmelita-ave-clovis-ca-93619--2324510091,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,"$419,000 ",4bd,4ba,"2,400 sqft",$175/sqft,"Lot Size: 4,950 sqft",Built in 2020,"Rooms: Walk In Closet, Dining Room",
3076 Portals Ave,https://www.trulia.com/p/ca/clovis/3076-portals-ave-clovis-ca-93619--2082420611,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Mar-20,"$495,000 ",5bd,4ba,"3,331 sqft","Lot Size: 8,822 sqft",Built in 2014,"Rooms: Walk In Closet, Breakfast Nook, Dining Room, Family Room, Laundry Room, Pantry, Recreation Room","Heating: Forced Air, Gas",
2582 Bellaire Way,https://www.trulia.com/p/ca/clovis/2582-bellaire-way-clovis-ca-93611--2082398937,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=2582%20Bellaire%20Way%20Clovis%20CA%2093611&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=tvmMqcgWIuS1fQPJXyiOkD8jH6Q%3D,12-Mar-20,"$419,891 ",4bd,3.25ba,"2,600 sqft",$162/sqft,"Lot Size: 10,193 sqft",Built in 1997,Cooling System: Refrigerator,
422 Whittier Ave,https://www.trulia.com/p/ca/clovis/422-whittier-ave-clovis-ca-93611--1002658020,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=422%20Whittier%20Ave%20Clovis%20CA%2093611&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=NxbTWsiRg8qqQVFyXBMY7qdWe4w%3D,12-Mar-20,"$260,000 ",3bd,2ba,"1,373 sqft",$189/sqft,"Lot Size: 7,801 sqft",Built in 1977,5 Rooms,
1085 Aqua Dulce,https://www.trulia.com/p/ca/clovis/1085-aqua-dulce-clovis-ca-93619--2411486105,https://maps.googleapis.com/maps/api/staticmap?zoom=18&size=320x240&maptype=satellite&center=36.821937561035156%2C-119.63199615478516&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=MXFfW3aRIBHCeOyN3VXQRJpUDMI%3D,11-Mar-20,"$458,500 ",Studio,1085 Aqua Dulce,"Clovis, CA","Lot Size: 7,797 sqft",,,,
2288 Sunnyside Ave,https://www.trulia.com/p/ca/clovis/2288-sunnyside-ave-clovis-ca-93611--2082397275,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=2288%20Sunnyside%20Ave%20Clovis%20CA%2093611&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=IrD5zHPyBxJXsVAs-2c4How3FJs%3D,11-Mar-20,"$297,000 ",4bd,2ba,"1,628 sqft",$182/sqft,"Lot Size: 7,344 sqft",Built in 1978,"Rooms: Dining Room, Family Room",
2793 Quincy Ave,https://www.trulia.com/p/ca/clovis/2793-quincy-ave-clovis-ca-93619--1057008519,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$568,000 ",5bd,3ba,"3,150 sqft",$180/sqft,"Lot Size: 10,624 sqft",Built in 2004,Rooms: Dining Room,
1891 Escalon Ave,https://www.trulia.com/p/ca/clovis/1891-escalon-ave-clovis-ca-93611--2082395282,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$327,500 ",4bd,2ba,"1,874 sqft",$175/sqft,"Lot Size: 7,405 sqft",Built in 1977,"Rooms: Walk In Closet, Dining Room, Family Room, Laundry Room",
588 W Mitchell Ave,https://www.trulia.com/p/ca/clovis/588-w-mitchell-ave-clovis-ca-93612--2116875743,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$248,000 ",3bd,1.75ba,"1,398 sqft",$177/sqft,"Lot Size: 6,359 sqft",Built in 1960,7 Rooms,
1541 Herring Ln,https://www.trulia.com/p/ca/clovis/1541-herring-ln-clovis-ca-93619--2196929232,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$330,000 ",3bd,2ba,"1,559 sqft",,,,,
3223 Monviso Ln,https://www.trulia.com/p/ca/clovis/3223-monviso-ln-clovis-ca-93619--2082421215,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$280,000 ",2bd,2.5ba,"1,470 sqft",$190/sqft,"Lot Size: 2,304 sqft",$130/monthly HOA,Built in 2013,
2667 Austin Ave,https://www.trulia.com/p/ca/clovis/2667-austin-ave-clovis-ca-93611--1002658717,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$410,000 ",4bd,3ba,"2,616 sqft",$157/sqft,"Lot Size: 9,230 sqft",Built in 2001,Rooms: Dining Room,
2820 Claremont Ave,https://www.trulia.com/p/ca/clovis/2820-claremont-ave-clovis-ca-93611--2082400317,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$323,000 ",3bd,2ba,"1,554 sqft",$208/sqft,Lot Size: 0.26 acres,Built in 1980,9 Rooms,
1958 Swift Ave,https://www.trulia.com/p/ca/clovis/1958-swift-ave-clovis-ca-93611--2082395582,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$357,500 ",3bd,1.75ba,"1,622 sqft",$220/sqft,"Lot Size: 8,581 sqft",Built in 1985,6 Rooms,
821 W Alamos Ave,https://www.trulia.com/p/ca/clovis/821-w-alamos-ave-clovis-ca-93612--2116876671,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$65,000 ",2bd,1ba,884 sqft,$74/sqft,"Lot Size: 5,967 sqft",Built in 1961,4 Rooms,
10024 E Bullard Ave,https://www.trulia.com/p/ca/clovis/10024-e-bullard-ave-clovis-ca-93619--2116883448,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,"$510,000 ",4bd,2ba,"2,031 sqft",$251/sqft,Lot Size: 2.09 acres,Built in 2003,10 Rooms,
835 Purdue Ave,https://www.trulia.com/p/ca/clovis/835-purdue-ave-clovis-ca-93611--2082403068,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Mar-20,Contact For Estimate,3bd,2ba,"1,526 sqft","Lot Size: 6,534 sqft",Built in 1975,6 Rooms,Heating: Forced Air,
1972 Oak Ln,https://www.trulia.com/p/ca/clovis/1972-oak-ln-clovis-ca-93611--2456179712,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",10-Mar-20,"$306,500 ",Studio,1972 Oak Ln,"Clovis, CA","Lot Size: 2,047 sqft",,,,
